7
Id,Age,Math,Science,Malay,English,Geography,
0,1,1,1,1,1,1,
50
15463586,22,72,39,49,98,78,
14570628,24,90,69,97,38,59,
16744839,18,38,50,90,77,52,
17179195,23,48,91,38,77,40,
16982075,20,45,80,99,24,47,
11917261,18,42,32,25,94,82,
19077542,19,39,20,28,50,51,
11552936,21,29,60,25,97,40,
14102242,21,69,35,20,95,21,
10343640,21,62,80,85,80,27,
17376436,16,62,63,68,57,24,
15085079,16,24,68,95,79,70,
11508420,19,93,73,55,38,69,
16976776,22,99,82,66,51,72,
10519842,19,45,68,68,51,49,
10142265,19,27,77,94,53,32,
15197653,19,59,85,66,46,99,
10884784,22,47,62,70,91,25,
15234153,17,69,71,86,55,50,
16006067,22,86,22,60,65,24,
19644810,16,57,42,70,33,97,
18223210,20,42,57,83,67,66,
12528275,17,62,83,40,54,27,
14523469,17,65,82,90,25,96,
12943231,20,90,25,50,97,31,
10009371,21,61,58,88,82,85,
19864456,16,27,48,49,84,91,
18219801,24,49,22,52,50,95,
18281067,21,39,65,42,95,80,
18881916,21,89,40,87,54,54,
11026171,22,45,76,36,61,73,
19110920,24,79,37,80,100,90,
19552619,21,80,94,54,50,63,
19322529,23,57,76,20,85,74,
19688734,21,40,52,29,95,59,
11574519,20,21,96,22,21,35,
10098581,24,74,24,33,97,74,
10157636,21,45,62,47,23,66,
17577258,23,94,69,54,47,33,
18198913,18,75,22,38,32,92,
10856943,19,23,25,63,86,49,
13365198,22,88,79,94,100,77,
19242949,22,57,92,45,60,62,
13726506,19,69,32,69,60,89,
14840772,16,76,78,30,20,80,
14579696,24,28,91,77,31,22,
10816968,19,92,44,79,26,46,
19841979,23,65,54,29,69,25,
10464367,17,63,35,53,86,38,
11193558,24,59,60,100,52,60,
