5
Id,Age,Spanish,Italian,French
0,1,1,1,1
25
10220702,21,61,30,24
12331250,23,83,46,97
19889947,17,95,80,88
17789131,16,85,50,36
17555471,23,78,97,66
18498785,19,96,41,28
13373131,20,23,80,90
13907663,17,40,28,20
19948264,24,88,82,90
10902270,23,75,48,95
18507628,17,86,70,66
17302806,21,79,42,77
10135573,17,66,31,29
13109893,16,72,82,98
11358796,22,80,54,81
13244393,23,50,99,47
12500779,17,93,52,83
14908119,16,87,93,28
16596527,18,25,90,86
12523608,18,55,68,47
18286002,23,55,95,92
16253751,17,87,91,63
13782446,19,89,86,77
14101792,22,49,57,75
16373410,18,93,42,100
