8
Id,Age,Math,Science,Malay,English,Geography,History
0,1,1,1,1,1,1,1
50
12373641,18,63,25,88,74,65,87
13681029,27,40,21,59,53,51,33
19592853,12,68,76,66,77,36,84
14983451,21,53,56,100,48,32,20
10951663,20,54,83,63,92,51,71
17827334,18,84,32,64,33,84,77
15938757,20,76,69,38,97,42,36
19175568,18,38,65,64,45,47,32
10438245,19,92,100,40,32,65,46
10988014,22,41,34,26,40,27,83
11803124,20,87,42,73,33,32,66
15468151,21,30,75,70,91,82,43
16908814,16,96,52,34,87,42,38
16415556,18,36,97,85,69,67,44
16595985,18,76,77,53,60,51,97
16462377,23,87,54,36,62,71,35
17871735,16,41,28,91,67,21,96
18053541,19,68,69,74,43,71,43
19881543,19,81,84,22,30,86,28
17571578,24,56,53,89,22,84,23
10899086,20,45,97,87,74,82,23
17187226,22,68,26,31,34,62,68
13419453,20,55,81,69,35,82,54
18381036,19,35,78,50,63,45,52
13375165,24,40,40,69,85,81,64
11543698,16,48,50,73,79,44,20
12685388,23,77,21,39,82,71,100
18909065,17,85,84,32,50,57,99
10750224,17,66,83,99,29,53,69
10923233,24,98,44,71,40,82,34
18388691,24,51,28,55,92,75,68
11944152,24,52,49,72,60,23,61
17976934,18,21,43,42,22,35,25
16290972,16,36,31,30,21,78,94
15495732,17,78,46,22,92,46,25
14726664,20,48,71,29,72,98,61
10398604,21,57,28,81,63,28,84
17258956,19,69,72,83,67,87,89
14488894,22,79,71,24,84,22,41
17486155,22,39,30,32,40,34,32
11029145,17,34,44,62,78,27,64
15321637,18,22,66,48,55,58,79
10916185,23,33,64,48,48,64,66
18736569,22,50,88,20,51,71,49
12659312,19,28,36,42,44,29,72
17046659,20,80,92,37,97,60,97
16692220,20,46,32,44,44,46,51
15299976,19,39,58,57,37,41,54
11196289,22,97,71,20,95,33,76
10620182,19,56,96,88,30,26,36
